Reference,Pin,Net,Value / Part,Functional block
P1,25,HEADER_PASS_25,40-pin header,Host Headers
P1,26,GND,40-pin header,Host Headers
P1,27,HEADER_PASS_27,40-pin header,Host Headers
P1,28,HEADER_PASS_28,40-pin header,Host Headers
P1,29,GND,40-pin header,Host Headers
P1,30,HEADER_PASS_30,40-pin header,Host Headers
P1,31,HEADER_PASS_31,40-pin header,Host Headers
P1,32,HEADER_PASS_32,40-pin header,Host Headers
P1,33,GND,40-pin header,Host Headers
P1,34,HEADER_PASS_34,40-pin header,Host Headers
P1,35,HEADER_PASS_35,40-pin header,Host Headers
P1,36,HEADER_PASS_36,40-pin header,Host Headers
P1,37,HEADER_PASS_37,40-pin header,Host Headers
P1,38,HEADER_PASS_38,40-pin header,Host Headers
P1,39,GND,40-pin header,Host Headers
P1,40,GND,40-pin header,Host Headers
P2,1,5V,40-pin header,Host Headers
P2,2,HEADER_PASS_2,40-pin header,Host Headers
P2,3,5V,40-pin header,Host Headers
P2,4,IIC_SDA,40-pin header,Host Headers
P2,5,GND,40-pin header,Host Headers
P2,6,IIC_SCL,40-pin header,Host Headers
P2,7,U0RX,40-pin header,Host Headers
P2,8,HEADER_PASS_8,40-pin header,Host Headers
P2,9,U0TX,40-pin header,Host Headers
P2,10,GND,40-pin header,Host Headers
P2,11,HEADER_PASS_11,40-pin header,Host Headers
P2,12,HEADER_PASS_12,40-pin header,Host Headers
P2,13,HEADER_PASS_13,40-pin header,Host Headers
P2,14,HEADER_PASS_14,40-pin header,Host Headers
P2,15,HEADER_PASS_15,40-pin header,Host Headers
P2,16,HEADER_PASS_16,40-pin header,Host Headers
P2,17,HEADER_PASS_17,40-pin header,Host Headers
P2,18,HEADER_PASS_18,40-pin header,Host Headers
P2,19,GND,40-pin header,Host Headers
P2,20,HEADER_PASS_20,40-pin header,Host Headers
P2,21,HEADER_PASS_21,40-pin header,Host Headers
P2,22,HEADER_PASS_22,40-pin header,Host Headers
P2,23,HEADER_PASS_23,40-pin header,Host Headers
P2,24,HEADER_PASS_24,40-pin header,Host Headers
P2,25,HEADER_PASS_25,40-pin header,Host Headers
P2,26,GND,40-pin header,Host Headers
P2,27,HEADER_PASS_27,40-pin header,Host Headers
P2,28,HEADER_PASS_28,40-pin header,Host Headers
P2,29,GND,40-pin header,Host Headers
P2,30,HEADER_PASS_30,40-pin header,Host Headers
P2,31,HEADER_PASS_31,40-pin header,Host Headers
P2,32,HEADER_PASS_32,40-pin header,Host Headers
P2,33,GND,40-pin header,Host Headers
P2,34,HEADER_PASS_34,40-pin header,Host Headers
P2,35,HEADER_PASS_35,40-pin header,Host Headers
P2,36,HEADER_PASS_36,40-pin header,Host Headers
P2,37,HEADER_PASS_37,40-pin header,Host Headers
P2,38,HEADER_PASS_38,40-pin header,Host Headers
P2,39,GND,40-pin header,Host Headers
P2,40,GND,40-pin header,Host Headers
C45,1,DC_IN,10uF/50V,Motor Drivers
C45,2,GND,10uF/50V,Motor Drivers
C47,1,DC_IN,10uF/50V,Motor Drivers
C47,2,GND,10uF/50V,Motor Drivers
C48,1,DC_IN,100nF (104),Motor Drivers
C48,2,GND,100nF (104),Motor Drivers
C49,1,DC_IN,100nF (104),Motor Drivers
C49,2,GND,100nF (104),Motor Drivers
C50,1,3V3,100nF (104),Motor Drivers
C50,2,GND,100nF (104),Motor Drivers
C51,1,3V3,100nF (104),Motor Drivers
C51,2,GND,100nF (104),Motor Drivers
TB1,1,MA1_PRIME,TB6612FNG,Motor Drivers
TB1,2,MA1_PRIME,TB6612FNG,Motor Drivers
TB1,3,GND,TB6612FNG,Motor Drivers
TB1,4,GND,TB6612FNG,Motor Drivers
TB1,5,MA2_PRIME,TB6612FNG,Motor Drivers
TB1,6,MA2_PRIME,TB6612FNG,Motor Drivers
TB1,7,MB1_PRIME,TB6612FNG,Motor Drivers
TB1,8,MB1_PRIME,TB6612FNG,Motor Drivers
TB1,9,GND,TB6612FNG,Motor Drivers
TB1,10,GND,TB6612FNG,Motor Drivers
TB1,11,MB2_PRIME,TB6612FNG,Motor Drivers
TB1,12,MB2_PRIME,TB6612FNG,Motor Drivers
TB1,13,DC_IN,TB6612FNG,Motor Drivers
TB1,14,DC_IN,TB6612FNG,Motor Drivers
TB1,15,S5,TB6612FNG,Motor Drivers
TB1,16,S4,TB6612FNG,Motor Drivers
TB1,17,S3,TB6612FNG,Motor Drivers
TB1,18,GND,TB6612FNG,Motor Drivers
TB1,19,3V3,TB6612FNG,Motor Drivers
TB1,20,3V3,TB6612FNG,Motor Drivers
TB1,21,S2,TB6612FNG,Motor Drivers
TB1,22,S1,TB6612FNG,Motor Drivers
TB1,23,S0,TB6612FNG,Motor Drivers
TB1,24,DC_IN,TB6612FNG,Motor Drivers
TB2,1,MA1,TB6612FNG,Motor Drivers
TB2,2,MA1,TB6612FNG,Motor Drivers
TB2,3,GND,TB6612FNG,Motor Drivers
TB2,4,GND,TB6612FNG,Motor Drivers
TB2,5,MA2,TB6612FNG,Motor Drivers
TB2,6,MA2,TB6612FNG,Motor Drivers
TB2,7,MB1,TB6612FNG,Motor Drivers
TB2,8,MB1,TB6612FNG,Motor Drivers
TB2,9,GND,TB6612FNG,Motor Drivers
TB2,10,GND,TB6612FNG,Motor Drivers
TB2,11,MB2,TB6612FNG,Motor Drivers
TB2,12,MB2,TB6612FNG,Motor Drivers
TB2,13,DC_IN,TB6612FNG,Motor Drivers
TB2,14,DC_IN,TB6612FNG,Motor Drivers
TB2,15,S5,TB6612FNG,Motor Drivers
TB2,16,S4,TB6612FNG,Motor Drivers
TB2,17,S3,TB6612FNG,Motor Drivers
TB2,18,GND,TB6612FNG,Motor Drivers
TB2,19,3V3,TB6612FNG,Motor Drivers
TB2,20,3V3,TB6612FNG,Motor Drivers
TB2,21,S2,TB6612FNG,Motor Drivers
TB2,22,S1,TB6612FNG,Motor Drivers
TB2,23,S0,TB6612FNG,Motor Drivers
TB2,24,DC_IN,TB6612FNG,Motor Drivers
H3,0,GND,PH2.0 6P vertical,Motor Drivers
H3,1,MB2,PH2.0 6P vertical,Motor Drivers
H3,2,GND,PH2.0 6P vertical,Motor Drivers
H3,3,B_C2_CONN,PH2.0 6P vertical,Motor Drivers
H3,4,B_C1_CONN,PH2.0 6P vertical,Motor Drivers
H3,5,3V3,PH2.0 6P vertical,Motor Drivers
H3,6,MB1,PH2.0 6P vertical,Motor Drivers
H4,0,GND,PH2.0 6P vertical,Motor Drivers
H4,1,MB2_PRIME,PH2.0 6P vertical,Motor Drivers
H4,2,NC,PH2.0 6P vertical,Motor Drivers
H4,3,NC,PH2.0 6P vertical,Motor Drivers
H4,4,NC,PH2.0 6P vertical,Motor Drivers
H4,5,NC,PH2.0 6P vertical,Motor Drivers
H4,6,MB1_PRIME,PH2.0 6P vertical,Motor Drivers
H5,0,GND,PH2.0 6P vertical,Motor Drivers
H5,1,MA2,PH2.0 6P vertical,Motor Drivers
H5,2,GND,PH2.0 6P vertical,Motor Drivers
H5,3,A_C2_CONN,PH2.0 6P vertical,Motor Drivers
H5,4,A_C1_CONN,PH2.0 6P vertical,Motor Drivers
H5,5,3V3,PH2.0 6P vertical,Motor Drivers
H5,6,MA1,PH2.0 6P vertical,Motor Drivers
H6,0,GND,PH2.0 6P vertical,Motor Drivers
H6,1,MA2_PRIME,PH2.0 6P vertical,Motor Drivers
H6,2,NC,PH2.0 6P vertical,Motor Drivers
H6,3,NC,PH2.0 6P vertical,Motor Drivers
H6,4,NC,PH2.0 6P vertical,Motor Drivers
H6,5,NC,PH2.0 6P vertical,Motor Drivers
H6,6,MA1_PRIME,PH2.0 6P vertical,Motor Drivers
R36,1,B_C1_CONN,10R,Motor Drivers
R36,2,B_C1,10R,Motor Drivers
R37,1,B_C2_CONN,10R,Motor Drivers
R37,2,B_C2,10R,Motor Drivers
R39,1,A_C1_CONN,10R,Motor Drivers
R39,2,A_C1,10R,Motor Drivers
R40,1,A_C2_CONN,10R,Motor Drivers
R40,2,A_C2,10R,Motor Drivers
